Disease,Symptoms,Type
Hashimoto's Thyroiditis,"dry skin, cold intolerance, weight gain, fatigue",Serious
Common Warts,rough skin growths,Normal
Alzheimer's Disease,"memory loss, confusion, difficulty thinking",Critical
Miliaria (Heat Rash),small itchy bumps from sweat,Normal
Rotavirus,"fever, vomiting, watery diarrhea",Normal
Port-Wine Stain,dark red/purple birthmark,Normal
Smallpox,"fatigue, pustules on skin, fever",Critical
Morton's Neuroma,"toe pain, feeling of pebble in shoe",Normal
Gastritis,"indigestion, vomiting, nausea, bloating, stomach pain",Normal
Myasthenia Gravis,"drooping eyelids, double vision",Serious
Hypoglycemia,"sweating, confusion, hunger",Serious
Toxic Epidermal Necrolysis,widespread skin peeling,Critical
Hyperopia,difficulty seeing close objects,Normal
Tinea Versicolor,discolored skin patches,Normal
Muscle Strain,"stiffness, pain, weakness, swelling",Normal
Cushing Syndrome,"weight gain, muscle weakness, fatigue",Serious
Jock Itch,"redness in groin area, itching",Normal
Rocky Mountain Spotted Fever,"fever, headache",Serious
Tinea Versicolor,discolored skin patches,Normal
Hypertrophic Scars,raised red scars within injury site,Normal
Intertrigo,rash in skin folds,Normal
Gas Gangrene,"swelling, gas in tissue, severe pain",Critical
Obesity,"weight gain, fatigue, breathlessness",Normal
Lichen Sclerosus,white thin skin in genital area,Normal
Hiccups,involuntary diaphragm contractions,Normal
Tinea Capitis,scalp ringworm,Normal
Zika Virus,"rash, fever, joint pain, red eyes",Normal
Hiatal Hernia,"heartburn, chest pain, difficulty swallowing",Serious
Back Pain,"stiffness, lower back pain",Normal
Gallstones,"nausea, vomiting, abdominal pain, indigestion",Normal
Shin Splints,pain along the shin bone,Normal
Septic Arthritis,"joint pain, fever, swelling",Critical
Sinusitis,"runny nose, headache, facial pain, nasal congestion, pressure",Normal
Cushing Syndrome,weight gain,Serious
Genu Varum (Bow Legs),knees apart while ankles touch,Normal
Campylobacteriosis,"fever, diarrhea, abdominal cramps",Normal
Lupus,"butterfly rash, fever, fatigue, joint pain",Serious
Conjunctivitis (Pink Eye),"itching, tearing, discharge, redness",Normal
Acanthosis Nigricans,dark velvety skin in folds,Normal
Hemorrhoids,"bleeding, itching, rectal pain",Normal
Borderline Personality,relationship issues,Serious
Ebola Virus,"fever, bleeding, weakness, muscle pain",Critical
Cushing's Syndrome,"moon face, weight gain",Serious
Genu Varum (Bow Legs),knees apart while ankles touch,Normal
Sleeping Sickness,"joint pain, sleep disruption, fever",Critical
Addison Disease,"low blood pressure, dizziness, fatigue, weight loss",Serious
Common Cold,"mild fever, sneezing, congestion, watery eyes, sore throat",Normal
Hidradenitis Suppurativa,painful lumps in armpits/groin,Serious
Goiter,"difficulty swallowing, hoarseness, neck swelling",Normal
Narcolepsy,"excessive daytime sleepiness, sudden muscle weakness",Serious
Septic Arthritis,"joint pain, swelling, fever",Critical
Chikungunya,"fatigue, joint pain, fever, rash",Serious
Osteoporosis,back pain,Serious
Reiter's Syndrome,"eye inflammation, joint pain",Serious
Goodpasture Syndrome,"coughing blood, blood in urine",Critical
Pancreatitis,"nausea, vomiting, upper abdominal pain, fever",Serious
Alzheimer's Disease,"difficulty thinking, confusion",Critical
Hypertrichosis,excessive hair growth anywhere,Normal
Yaws,joint pain,Serious
Corneal Abrasion,"redness, feeling of grit",Serious
Social Anxiety,"fear of judgment, sweating",Normal
HIV/AIDS,"infections, fatigue, weight loss, fever",Critical
Frostbite,"white/blue skin, blisters, numbness",Serious
Muscular Dystrophy,frequent falls,Critical
Reiter's Syndrome,joint pain,Serious
Malaria,"headache, chills, high fever",Serious
Cellulitis,"redness, fever, swelling",Serious
Beriberi,"weakness, shortness of breath",Serious
Cat Scratch Disease,"swollen nodes, bump at site",Normal
Rocky Mountain Spotted Fever,"fever, headache",Serious
Toxoplasmosis,"body aches, fatigue, swollen nodes",Serious
Glaucoma,"halo lights, eye pain",Serious
Whooping Cough,"whooping sound, vomiting, severe coughing",Serious
Molluscum Contagiosum,small firm bumps with dimples,Normal
Dermatitis Herpetiformis,very itchy blisters on elbows/knees,Serious
Erythema Multiforme,target-like skin lesions,Normal
Diarrhea,"urgency, loose stools, stomach cramps",Normal
RSV,"fever, cough, wheezing",Normal
Plague (Pneumonic),"fever, cough",Critical
Corneal Abrasion,"eye pain, feeling of grit",Serious
Schistosomiasis,"blood in urine/stool, abdominal pain",Serious
Cerebral Palsy,"poor coordination, movement issues",Serious
Pneumonia,"cough, chest pain, difficulty breathing, fatigue, chills",Serious
Spondylolisthesis,"lower back pain, stiffness",Serious
Hepatitis C,"fatigue, loss of appetite, jaundice",Serious
Pericarditis,"fever, weakness, palpitations, chest pain",Serious
Lupus,"joint pain, fever, butterfly rash, fatigue",Serious
Boils,"painful lumps, redness, swelling",Normal
Endometriosis,infertility,Serious
Type 1 Diabetes,"excessive thirst, weight loss, frequent urination",Serious
Addison's Disease,"dark skin, extreme fatigue, weight loss",Serious
Carpal Tunnel Syndrome,"hand numbness, tingling, weakness",Normal
Angina,"pressure, chest pain, fatigue, shortness of breath",Serious
Zika Virus,"joint pain, red eyes, fever, rash",Normal
Bullous Pemphigoid,large firm skin blisters,Serious
Toxic Shock Syndrome,"rash, low blood pressure",Critical
Sciatica,"numbness, tingling, leg pain, lower back pain",Normal
Herniated Disc,"numbness, leg pain, back pain",Serious
Gianotti-Crosti Syndrome,rash on limbs after infection,Normal
Borderline Personality,"relationship issues, unstable moods",Serious
Pellagra,"diarrhea, dementia",Serious
Tinea Cruris,jock itch,Normal
Dengue,"joint pain, rash, headache, fever",Serious
Traction Alopecia,hair loss from tight styles,Normal
Borderline Personality,"unstable moods, relationship issues",Serious
Infertility,"inability to conceive, irregular cycles",Serious
Anemia,"pale skin, shortness of breath, fatigue",Normal
Down Syndrome,"delayed development, distinct facial features",Serious
Androgenetic Alopecia,male/female pattern baldness,Normal
Cataracts,"cloudy vision, difficulty seeing at night",Normal
Kidney Stones,"blood in urine, severe back pain, nausea",Serious
Epilepsy,"seizures, loss of consciousness, staring spells, confusion",Serious
Rat-bite Fever,"joint pain, rash",Serious
Dyshidrotic Eczema,small blisters on hands/feet,Normal
PCOS,"acne, hair growth, irregular periods, weight gain",Normal
Impetigo,"itching, red sores, blisters",Normal
Tendinitis,"pain at tendon site, swelling",Normal
Ulcerative Colitis,"weight loss, bloody diarrhea, abdominal pain, fatigue",Serious
Pressure Sores (Bedsores),skin breakdown from prolonged pressure,Serious
Ascariasis,"worms in stool, cough, abdominal pain",Serious
Avian Flu,"sore throat, fever, cough, muscle aches",Critical
Drug Eruption,rash after taking medication,Serious
Albinism,lack of pigment in skin/hair/eyes,Normal
Epidermoid Cyst,small firm bump under skin,Normal
Thyroid Cancer,"neck lump, hoarseness, weight loss, fatigue",Critical
Miliaria (Heat Rash),small itchy bumps from sweat,Normal
Cirrhosis,"fatigue, weight loss, swelling, confusion",Critical
PTSD,"flashbacks, anxiety",Serious
Urinary Tract Infection,"cloudy urine, burning urination",Normal
Typhoid Fever,"weakness, stomach pain, headache, high fever",Serious
Ebola Virus,"fever, muscle pain, weakness, bleeding",Critical
Nummular Eczema,coin-shaped itchy skin patches,Normal
Mono (Mononucleosis),"sore throat, swollen lymph nodes, fatigue",Normal
Irritable Bowel Syndrome,"bloating, constipation, abdominal pain, diarrhea",Normal
Dermatitis Herpetiformis,very itchy blisters on elbows/knees,Serious
Cytomegalovirus Infection,"fever, body aches",Serious
Crohn's Disease,"abdominal pain, weight loss, fatigue, diarrhea",Serious
Genu Varum (Bow Legs),knees apart while ankles touch,Normal
Cardiomyopathy,"dizziness, shortness of breath, swelling, fatigue",Serious
Bullous Pemphigoid,large firm skin blisters,Serious
Molluscum Contagiosum,small firm bumps with dimples,Normal
Dysgraphia,"difficulty writing, poor handwriting",Normal
Vitamin B12 Deficiency,"tingling, fatigue",Normal
Yellow Fever,"headache, fever, jaundice, muscle aches, chills",Critical
Hydatid Disease,"pain, cysts in liver or lungs",Serious
Melasma,brown patches on face,Normal
Dupuytren's Contracture,fingers pulled toward palm,Normal
Muscle Cramp,sudden painful muscle contraction,Normal
Sickle Cell Anemia,"fatigue, swelling, infections, pain crises",Critical
Skin Tags,small flesh-colored growths,Normal
Epidermoid Cyst,small firm bump under skin,Normal
Fixed Drug Eruption,recurring rash in same spot,Normal
PTSD,nightmares,Serious
Ebola Virus,"fever, weakness, muscle pain",Critical
Influenza B,"fever, fatigue, cough, chills",Normal
Trigger Finger,finger stuck in bent position,Normal
Bipolar Disorder,"mania, mood swings",Serious
Sinus Infection,"nasal congestion, facial pressure, headache",Normal
Thyroid Cancer,weight loss,Critical
Schizophrenia,"delusions, hallucinations, confusion",Critical
Ringworm,"circular rash, redness, itching",Normal
Mumps,muscle pain,Normal
Hypertension,"headache, dizziness, chest pain, blurred vision",Serious
Baker's Cyst,"tightness, swelling behind the knee",Normal
Toxic Epidermal Necrolysis,widespread skin peeling,Critical
Leptospirosis,"high fever, headache",Serious
Fifth Disease,"bright red rash on cheeks, fever",Normal
Shingles,painful rash,Serious
Brain Tumor,"vision problems, seizures, nausea",Critical
Astigmatism,blurred vision at all distances,Normal
Photosensitivity,rash after sun exposure,Normal
Erythrasma,red-brown skin patches,Normal
Telogen Effluvium,temporary hair thinning,Normal
Tourette Syndrome,"vocal tics, motor tics",Normal
Phimosis,"tight foreskin, difficulty retracting",Normal
Narcissistic Personality,"lack of empathy, need for admiration",Serious
Angioedema,deep swelling under skin,Serious
Hyperthyroidism,"sweating, palpitations, anxiety, weight loss",Serious
Hemorrhoids,"rectal pain, itching",Normal
Neuropathy,"weakness, numbness, pain, tingling",Serious
Gallstones,"vomiting, abdominal pain, nausea, indigestion",Normal
Generalized Anxiety,"restlessness, constant worry",Normal
Autism Spectrum Disorder,"repetitive behavior, social difficulty",Serious
Wegener's Granulomatosis,kidney issues,Serious
Melanoma,"dark spots, itching, mole changes",Critical
Pemphigus Vulgaris,blisters in mouth and skin,Serious
Cirrhosis,"fatigue, jaundice, confusion, swelling, weight loss",Critical
Cherry Angioma,small bright red skin bumps,Normal
Pleural Effusion,"cough, chest pain, fatigue, shortness of breath",Serious
Hydrocele,swelling in the scrotum,Normal
Umbilical Hernia,bulge at the belly button,Normal
Bruxism,"jaw pain, teeth grinding",Normal
Hiatal Hernia,"heartburn, difficulty swallowing",Serious
Tonsillitis,"swollen tonsils, fever, sore throat, difficulty swallowing",Normal
Periodontitis,bad breath,Serious
Agoraphobia,fear of places where escape is hard,Serious
Cytomegalovirus Infection,"fever, body aches, fatigue",Serious
Q Fever,"severe headache, chills",Serious
Plague (Septicemic),"chills, fever",Critical
Gallbladder Attack,"nausea, severe upper right pain",Serious
Dyshidrotic Eczema,small blisters on hands/feet,Normal
Erythrasma,red-brown skin patches,Normal
Tinea Versicolor,discolored skin patches,Normal
Stye,"pain, swelling",Normal
Guillain-Barre Syndrome,"weakness, paralysis",Critical
COVID-19,"shortness of breath, headache, loss of taste, fever, fatigue, cough",Serious
Vitiligo,"loss of skin color, patches",Normal
Psittacosis,"headache, fever, dry cough",Serious
Hiatal Hernia,"heartburn, difficulty swallowing, chest pain",Serious
Stuttering,"repetition of sounds, speech blocks",Normal
Melasma,brown patches on face,Normal
Postpartum Depression,"fatigue, sadness after childbirth",Serious
Hypothyroidism,"weight gain, fatigue, dry skin, cold intolerance",Normal
Spondylolisthesis,"stiffness, lower back pain",Serious
Specific Phobia,intense fear of objects/situations,Normal
Atherosclerosis,"leg pain, chest pain, fatigue, numbness",Serious
Onychomycosis,"thickened, yellowed nails",Normal
Dissociative Identity,presence of multiple personalities,Serious
Nummular Eczema,coin-shaped itchy skin patches,Normal
Graves' Disease,weight loss,Serious
Jock Itch,"redness in groin area, itching",Normal
Laryngitis,"voice loss, sore throat, hoarseness, dry cough",Normal
Takayasu's Arteritis,"dizziness, weak pulse, chest pain",Serious
Phimosis,"difficulty retracting, tight foreskin",Normal
Bullous Pemphigoid,large firm skin blisters,Serious
Heartburn,"burning chest pain, sour taste",Normal
Gingivitis,"bleeding, swollen gums, bad breath",Normal
Filariasis,swelling of limbs (elephantiasis),Serious
Hookworm Infection,"itching, anemia",Serious
Drug Eruption,rash after taking medication,Serious
Trichotillomania,hair pulling disorder,Normal
Hepatitis C,"jaundice, loss of appetite, fatigue",Serious
Epilepsy,"loss of consciousness, confusion, staring spells, seizures",Serious
Lipoma,soft fatty lump under skin,Normal
Autism Spectrum Disorder,"social difficulty, repetitive behavior",Serious
Arthritis,"swelling, stiffness, joint pain, reduced movement",Normal
Parkinson's Disease,"stiffness, slow movement, tremors, balance problems",Critical
Poison Ivy Rash,"itching, redness",Normal
Brucellosis,"fatigue, fever",Serious
Bell's Palsy,"drooping, difficulty speaking, facial weakness",Normal
Esophageal Cancer,"difficulty swallowing, chest pain, weight loss",Critical
Heat Rash,"small red bumps, prickly sensation",Normal
ALS,"twitching, muscle weakness, difficulty speaking",Critical
Sleep Apnea,"headache, snoring, fatigue",Serious
Hashimoto's Thyroiditis,"dry skin, weight gain, fatigue, cold intolerance",Serious
Spider Bite,"two puncture marks, swelling, pain",Normal
Botulism,"double vision, paralysis, drooping eyelids",Critical
Herpangina,small ulcers in back of throat,Normal
Specific Phobia,intense fear of objects/situations,Normal
Tennis Elbow,"elbow pain, weak grip",Normal
Sinus Infection,"facial pressure, headache, nasal congestion",Normal
Rubella,"fever, swollen nodes",Normal
Iron Deficiency Anemia,"brittle nails, shortness of breath, tiredness",Normal
Specific Phobia,intense fear of objects/situations,Normal
Dissociative Identity,presence of multiple personalities,Serious
Bacterial Vaginosis,"fishy odor, grayish discharge, itching",Normal
Depression,sadness,Serious
Dysgraphia,"difficulty writing, poor handwriting",Normal
Hives,"itchy welts, skin redness",Normal
Infectious Mononucleosis,"sore throat, fatigue, swollen nodes",Normal
